user_id,team1,team2,pick
1,"Weber St.",VCU,VCU
1,"New Hampshire",Lafayette,Lafayette
1,Akron,Mississippi,Mississippi
1,Tulsa,Winthrop,Winthrop
1,Toledo,Florida,Florida
1,Purdue,"Texas Tech",Purdue
1,"SIU Edwardsville",Northeastern,"SIU Edwardsville"
1,"Northern Iowa",Butler,Butler
1,"Saint Joseph's",Princeton,Princeton
1,Iona,"Northern Kentucky",Iona
1,BYU,Arkansas,Arkansas
1,"UNC Greensboro","Old Dominion","UNC Greensboro"
1,Connecticut,Kansas,Kansas
1,"Wichita St.",Yale,Yale
1,UTSA,"Cal St. Bakersfield","Cal St. Bakersfield"
1,"Virginia Tech",Colorado,"Virginia Tech"
1,"Indiana St.","Middle Tennessee","Middle Tennessee"
1,Tennessee,Baylor,Tennessee
1,Virginia,Gonzaga,Gonzaga
1,Liberty,"Santa Clara","Santa Clara"
1,"Cal St. Northridge",Binghamton,"Cal St. Northridge"
1,"Saint Louis","Arizona St.","Arizona St."
1,"Nebraska Omaha","North Carolina Central","North Carolina Central"
1,UCF,"N.C. State",UCF
1,"Boise St.",Georgia,"Boise St."
1,"Texas A&M",Iowa,Iowa
1,Charlotte,UAB,UAB
1,UMBC,"Robert Morris","Robert Morris"
1,Memphis,"Penn St.",Memphis
1,"San Diego St.","Seton Hall","San Diego St."
1,Fordham,Brown,Fordham
1,"East Tennessee St.",Montana,"East Tennessee St."
1,"Southern Miss","Loyola Marymount","Southern Miss"
1,"Arkansas St.",Bradley,Bradley
1,Cornell,"James Madison","James Madison"
1,"Gardner Webb","UC San Diego","UC San Diego"
1,Oregon,Northwestern,Oregon
1,"Air Force",Minnesota,"Air Force"
1,Campbell,Army,Campbell
1,"Texas St.","Cal St. Fullerton","Cal St. Fullerton"
1,"South Florida","Oregon St.","South Florida"
1,Marshall,"Murray St.",Marshall
1,"North Carolina",TCU,"North Carolina"
1,Duke,"St. John's",Duke
1,Ohio,Nebraska,Nebraska
1,Georgetown,Niagara,Georgetown
1,Texas,Providence,Texas
1,Furman,Washington,Washington
1,"Miami FL","Florida Atlantic","Florida Atlantic"
2,"Georgia Tech",Lipscomb,"Georgia Tech"
2,Northeastern,"Rhode Island","Rhode Island"
2,Colorado,"Penn St.",Colorado
2,"UT Arlington","Abilene Christian","UT Arlington"
2,Furman,Washington,Washington
2,"Western Kentucky",Tulane,Tulane
2,DePaul,Liberty,DePaul
2,Pittsburgh,SMU,Pittsburgh
2,USC,"Kansas St.",USC
2,"Colorado St.",Duquesne,Duquesne
2,Alabama,"Loyola Marymount",Alabama
2,Troy,"Southern Illinois",Troy
2,"Wake Forest",Arkansas,Arkansas
2,Kansas,TCU,Kansas
2,Missouri,"Oklahoma St.",Missouri
2,UCF,"Texas A&M","Texas A&M"
2,UAB,Toledo,UAB
2,"Stephen F. Austin",Oregon,Oregon
2,American,"Montana St.","Montana St."
2,Connecticut,Houston,Connecticut
2,Rutgers,Maryland,Maryland
2,Princeton,Bradley,Princeton
2,"Western Michigan",Presbyterian,"Western Michigan"
2,"Wright St.","South Florida","Wright St."
2,"UC Davis",Temple,Temple
2,"South Carolina","Grand Canyon","Grand Canyon"
2,Xavier,Iowa,Xavier
2,"Michigan St.",LSU,"Michigan St."
2,Davidson,Drake,Drake
2,VCU,Texas,Texas
2,"Texas St.",Wofford,Wofford
2,"Eastern Washington","Weber St.","Eastern Washington"
2,"Maryland Eastern Shore","Prairie View A&M","Prairie View A&M"
2,"Utah St.",Indiana,Indiana
2,"Loyola Chicago",Oklahoma,Oklahoma
2,Binghamton,"Purdue Fort Wayne",Binghamton
2,"UC Riverside","Utah Valley","Utah Valley"
2,"Kent St.",Louisville,Louisville
2,Tulsa,"Jacksonville St.",Tulsa
2,"Coastal Carolina","Ball St.","Coastal Carolina"
2,Vanderbilt,Georgia,Vanderbilt
2,"North Carolina","St. Bonaventure","North Carolina"
2,"San Diego St.",Utah,"San Diego St."
2,"Portland St.","Louisiana Monroe","Portland St."
2,"Saint Mary's",Creighton,"Saint Mary's"
2,"Middle Tennessee","Fresno St.","Fresno St."
2,Seattle,Purdue,Purdue
2,"Bethune Cookman","Florida A&M","Florida A&M"
2,"San Jose St.","Missouri St.","Missouri St."
2,Milwaukee,"Idaho St.",Milwaukee
3,Bryant,Lehigh,Bryant
3,Davidson,"West Virginia","West Virginia"
3,Belmont,"Southeastern Louisiana",Belmont
3,"Southern Indiana","Cal St. Northridge","Southern Indiana"
3,"North Carolina",Oklahoma,"North Carolina"
3,Hawaii,"Wichita St.","Wichita St."
3,Villanova,Connecticut,Connecticut
3,"Saint Peter's","Florida A&M","Saint Peter's"
3,Niagara,"Purdue Fort Wayne",Niagara
3,"St. Bonaventure",Georgia,"St. Bonaventure"
3,"Cal Baptist",Marshall,Marshall
3,"North Carolina Central","Tennessee Tech","Tennessee Tech"
3,"Cleveland St.","La Salle","Cleveland St."
3,BYU,"Miami FL","Miami FL"
3,Fairfield,"McNeese St.","McNeese St."
3,"Weber St.",Hofstra,"Weber St."
3,American,"Alcorn St.",American
3,Providence,Creighton,Creighton
3,Brown,Pacific,Pacific
3,Rice,Temple,Temple
3,Duquesne,Tulane,Duquesne
3,"Middle Tennessee","Santa Clara","Middle Tennessee"
3,"East Tennessee St.","Idaho St.","East Tennessee St."
3,"Texas Tech","Wake Forest","Wake Forest"
3,"Tennessee Martin",Hampton,"Tennessee Martin"
3,Minnesota,"Grand Canyon","Grand Canyon"
3,"Kennesaw St.",Mercer,"Kennesaw St."
3,Merrimack,"Central Michigan",Merrimack
3,"Cal St. Bakersfield",UTSA,UTSA
3,"Texas St.","Utah Valley","Texas St."
3,Washington,"Saint Louis",Washington
3,"Sam Houston St.",Towson,"Sam Houston St."
3,"UC San Diego",Longwood,Longwood
3,Akron,"UC Santa Barbara","UC Santa Barbara"
3,"New Mexico St.",Tulsa,Tulsa
3,"Florida Gulf Coast",Georgetown,Georgetown
3,Iona,"Boston College","Boston College"
3,Kentucky,SMU,Kentucky
3,Siena,"North Florida",Siena
3,"Mississippi St.",Memphis,Memphis
3,"Fresno St.",Charleston,Charleston
3,"Sacred Heart","Charleston Southern","Sacred Heart"
3,Dayton,"Murray St.",Dayton
3,"Washington St.","Colorado St.","Colorado St."
3,Houston,Arkansas,Houston
3,"Eastern Illinois","Delaware St.","Eastern Illinois"
3,"Florida Atlantic","New Mexico","Florida Atlantic"
3,Rutgers,Michigan,Michigan
3,Gonzaga,Marquette,Gonzaga
3,Illinois,Indiana,Illinois
4,"Texas Southern","UT Rio Grande Valley","Texas Southern"
4,Pacific,Hawaii,Hawaii
4,Baylor,Nebraska,Baylor
4,Oregon,"Washington St.",Oregon
4,"Oregon St.","St. John's","St. John's"
4,UCF,USC,USC
4,"Nebraska Omaha",Elon,"Nebraska Omaha"
4,Colorado,Auburn,Auburn
4,"Southern Indiana","Maryland Eastern Shore","Maryland Eastern Shore"
4,Navy,"Purdue Fort Wayne","Purdue Fort Wayne"
4,"Air Force",Rice,Rice
4,"Appalachian St.",Marshall,Marshall
4,Tennessee,Nevada,Tennessee
4,Creighton,"Boise St.",Creighton
4,Seattle,UTEP,Seattle
4,"San Jose St.","Eastern Washington","San Jose St."
4,Akron,Princeton,Akron
4,Northwestern,"Ohio St.","Ohio St."
4,BYU,VCU,BYU
4,Towson,"Boston College","Boston College"
4,Clemson,"Florida Atlantic","Florida Atlantic"
4,Alabama,"Iowa St.",Alabama
4,Oklahoma,"Stephen F. Austin",Oklahoma
4,"Virginia Tech",Duke,Duke
4,"New Hampshire",IUPUI,"New Hampshire"
4,"Mississippi St.","Penn St.","Mississippi St."
4,Fordham,"Loyola Chicago","Loyola Chicago"
4,"Northern Kentucky",Delaware,"Northern Kentucky"
4,Missouri,Connecticut,Connecticut
4,UNLV,Utah,UNLV
4,Dayton,Indiana,Indiana
4,Memphis,Xavier,Memphis
4,"George Washington","USC Upstate","George Washington"
4,"Holy Cross","St. Thomas","St. Thomas"
4,Vanderbilt,Mississippi,Mississippi
4,"South Dakota St.","Notre Dame","South Dakota St."
4,"Fresno St.",Montana,"Fresno St."
4,"North Alabama",Stetson,Stetson
4,"East Carolina",Drexel,Drexel
4,"Northern Arizona","Missouri St.","Missouri St."
4,"Bowling Green",American,"Bowling Green"
4,"Texas A&M","St. Bonaventure","Texas A&M"
4,DePaul,"Colorado St.","Colorado St."
4,"Gardner Webb","Wright St.","Wright St."
4,"Chicago St.","Central Connecticut","Chicago St."
4,Stanford,Villanova,Villanova
4,Pittsburgh,UCLA,UCLA
4,Harvard,"San Diego",Harvard
4,Virginia,Marquette,Marquette
4,"Arizona St.","N.C. State","N.C. State"
5,Missouri,"Kansas St.","Kansas St."
5,SMU,"Stephen F. Austin","Stephen F. Austin"
5,"La Salle","Fresno St.","Fresno St."
5,Radford,"Norfolk St.",Radford
5,Temple,"East Tennessee St.",Temple
5,Toledo,UAB,UAB
5,Kentucky,Gonzaga,Gonzaga
5,Columbia,"Chicago St.",Columbia
5,Georgetown,"Utah Valley",Georgetown
5,"Saint Louis","Wichita St.","Wichita St."
5,"Grand Canyon","Florida St.","Grand Canyon"
5,Hofstra,"Kent St.","Kent St."
5,Kansas,Duke,Kansas
5,"Arkansas St.",Montana,"Arkansas St."
5,"UC Irvine",Mississippi,Mississippi
5,"Georgia St.","Cal St. Fullerton","Cal St. Fullerton"
5,DePaul,Iona,DePaul
5,Auburn,"Florida Atlantic","Florida Atlantic"
5,"Tarleton St.",Winthrop,Winthrop
5,Xavier,"Saint Mary's","Saint Mary's"
5,Troy,"Northern Arizona",Troy
5,Merrimack,"SIU Edwardsville","SIU Edwardsville"
5,Ohio,Northwestern,Northwestern
5,"North Carolina Central",Dartmouth,Dartmouth
5,Pittsburgh,Dayton,Dayton
5,"Oklahoma St.",Stanford,Stanford
5,FIU,Colgate,Colgate
5,Rutgers,Indiana,Indiana
5,Hampton,"Idaho St.","Idaho St."
5,"Mount St. Mary's","Eastern Michigan","Mount St. Mary's"
5,"Eastern Washington",Belmont,Belmont
5,Southern,IUPUI,IUPUI
5,Butler,Duquesne,Duquesne
5,Charleston,"Southern Miss",Charleston
5,"Coppin St.","Central Michigan","Central Michigan"
5,"Florida Gulf Coast","UC Santa Barbara","Florida Gulf Coast"
5,UCF,Nevada,Nevada
5,"West Virginia",Arizona,Arizona
5,Wisconsin,Purdue,Purdue
5,USC,Houston,Houston
5,Marquette,Florida,Marquette
5,Colorado,"Texas A&M","Texas A&M"
5,"Eastern Illinois","Southern Indiana","Eastern Illinois"
5,"San Diego","Jacksonville St.","San Diego"
5,Lehigh,"Alcorn St.",Lehigh
5,"East Carolina",Princeton,Princeton
5,"Northern Iowa","N.C. State","N.C. State"
5,California,Rice,California
5,"James Madison","Sam Houston St.","James Madison"
5,"Old Dominion",Bryant,Bryant
6,Washington,"Virginia Tech","Virginia Tech"
6,Vanderbilt,"Weber St.",Vanderbilt
6,Memphis,Xavier,Memphis
6,DePaul,Providence,Providence
6,"North Carolina Central",UTSA,UTSA
6,Virginia,Kansas,Kansas
6,"West Virginia",Duke,Duke
6,Lehigh,"Cal Poly","Cal Poly"
6,Texas,Houston,Houston
6,"Sam Houston St.",Pepperdine,"Sam Houston St."
6,Winthrop,Iona,Winthrop
6,UAB,"Texas Tech","Texas Tech"
6,California,"Loyola Marymount",California
6,USC,"Ohio St.","Ohio St."
6,"Southeast Missouri St.","Nicholls St.","Southeast Missouri St."
